Gender,Most Comfortable Language,Location of Secondary School,Science Stream,Type of Qualification Completed,Grades Obtained in Qualification,Frequency of Working with Classmates,Academic Year and Trimester,Year of Birth,English Proficiency,Interest in Studying Computer,Average Studying Hours per Week,CGPA,PROGRAMMING AND PROBLEM SOLVING,SOFTWARE AND REQUIREMENTS,TCP/IP NETWORK FUNDAMENTALS,PROBABILITY AND STATISTICS FOR COMPUTING,OBJECT-ORIENTED APPLICATION DEVELOPMENT,DATABASE SYSTEM FUNDAMENTALS,WEB APPLICATION DEVELOPMENT,SOFTWARE DESIGN,SOFTWARE TESTING,COMPUTER ETHICS AND PROFESSIONAL RESPONSIBILITY,INTRODUCTION TO COMPUTER ORGANISATION AND ARCHITECTURE,HUMAN COMPUTER INTERACTION DESIGN,OPERATING SYSTEMS,PROBLEM SOLVING WITH DATA STRUCTURES AND ALGORITHMS,SOFTWARE PROJECT MANAGEMENT,SOFTWARE CONSTRUCTION AND CONFIGURATION,WIRELESS APPLICATION DEVELOPMENT,ADVANCED WEB APPLICATION DEVELOPMENT,SOFTWARE QUALITY ASSURANCE,SOFTWARE ENTREPRENEURSHIP,PROJECT,MULTIMEDIA TECHNOLOGY,ARTIFICIAL INTELLIGENCE,TEAM PROJECT,PROGRAMMING WITH GAME ENGINES,ADVANCED DATABASE SYSTEMS,CLOUD COMPUTING,DIGITAL IMAGE PROCESSING,FUNDAMENTALS OF CYBERSECURITY,PARALLEL PROCESSING,DATA MINING,TCP/IP NETWORK ROUTING,SERVER CONFIGURATION AND MANAGEMENT,TCP/IP NETWORK APPLICATION DEVELOPMENT,NETWORK SECURITY MANAGEMENT
Male,Chinese,Penang,Yes,Foundation in Art,Mostly A's,Sometimes,Year 3 Trimester 2,2000,3,4,-2,3.7751,A,A,A,A+,A+,B+,A,A,A-,A+,A,A,A,A,A-,A,B-,A,A,A,B+,A+,A-,B-,A-,A+,A,A-,A,A+,B+,B,A,A+,A
Male,English,Negeri Sembilan,Yes,Foundation in Science,Mostly A's,Often,Year 2 Trimester 3,2003,5,5,4,3.832,A,A+,A,A,A,C,A,A,A,A,A,A,A,A,A+,A-,A-,B+,A+,A,A,B+,A,A,A-,A+,C+,A,A+,A,A+,A,A+,A,A-
Male,Chinese,Johor,Yes,Foundation in Science,Mostly A's,Often,Year 3 Trimester 1,2000,4,3,14,3.7099,A,A+,A-,A,A,B,A+,B,A+,A+,A,B-,A+,B,A+,A+,A+,A+,B+,B-,A+,B+,A,A+,A+,B-,B-,A+,A+,A-,A+,A+,A-,A+,A-
Male,Chinese,Sabah,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Very Often,Year 1 Trimester 3,2004,3,4,-1,3.8808,A+,A,A,A-,A,B,A,A,A,A+,A,A,A,A,A+,A,A,A+,A+,A,A-,B,A,A-,A,A,A+,A,B+,A,A,A,A+,A,A-
Male,Chinese,Sabah,Yes,Foundation in Science,Mostly B's,Often,Year 2 Trimester 2,2002,4,5,6,3.6526,A,A,A+,A,A,B+,A+,A-,A-,A,B,B,B,B,B+,A,B-,A,B+,A+,A+,A+,B+,B+,B,B,A+,A-,A-,A+,B,A+,A-,A,A+
Male,Chinese,Selangor,Yes,Foundation in Art,Mostly A's,Sometimes,Year 2 Trimester 2,2004,4,3,10,3.7778,A,A,A,A,A+,B+,B,A,B,A,A,A,A+,A,A,B,B+,A+,A,A-,A,A+,A+,A+,A+,B+,A,A,A-,A+,A+,B,A+,A,B-
Female,Chinese,Selangor,Yes,Foundation in Science,Mostly A's,Sometimes,Year 3 Trimester 1,2003,4,5,10,3.7068,A,A-,A+,A+,A-,B+,B+,B+,B,A,A,A,A,A,A-,A+,C,B+,A+,A,A+,A-,A,A+,B,A-,A+,A,A-,B+,A-,A+,A+,A-,A-
Male,Chinese,Sabah,Yes,Foundation in Art,Mostly B's,Often,Year 2 Trimester 3,2001,3,4,7,2.909,B-,B-,F,C,B+,B+,B,B+,B+,A-,B-,B-,B,A-,B,A,B,B-,B-,B,B+,B+,B-,A+,B,B-,B,C,B+,A,A-,F,C,B-,B+
Male,Chinese,Pahang,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Often,Year 2 Trimester 2,2002,3,5,15,3.6668,B,A,A-,B,A+,B+,A,A,A,A+,B+,B,A+,A-,A,A+,B-,B,A+,A+,A,A+,A+,A,A,B,B+,A-,A+,A,A,A+,B+,B,B-
Female,Chinese,Selangor,Yes,UEC (Unified Examination Certificate),Mostly B's,Often,Year 2 Trimester 3,2003,3,4,9,3.2738,A-,A-,B,F,B-,B-,B,A-,A-,A+,B,A,A-,A-,B+,A+,A-,B+,A-,B,A+,A+,C+,B+,A-,A+,C+,B-,C+,A+,C+,B+,B+,B,B
Male,Chinese,Selangor,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly C's,Very Often,Year 1 Trimester 3,2004,2,4,-3,2.7042,C,B-,B-,B+,B-,B-,B+,B-,B-,B-,B+,A,A-,B,C+,C,A,C,B,C+,B,B,B-,A,C,A,A-,A-,F,F,B,B+,F,C,B
Male,Chinese,Sarawak,Yes,Foundation in Science,Mostly A's,Very Often,Year 2 Trimester 3,2002,4,4,-5,3.2787,B,B,A,A,B,B,B+,B,B,A,A,A-,A+,A,B+,B,A+,B+,B+,B+,B,A,A,B+,B-,B,B-,B+,A-,B+,B-,C,B+,B,C+
Male,Chinese,Negeri Sembilan,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly A's,Often,Year 3 Trimester 2,2002,4,4,-5,2.7598,B,A-,B,A-,B,B+,C+,F,C+,B,A,A,B,A-,B,F,C+,B+,A-,F,C+,F,B+,A,A,B,B+,C+,B+,B+,B,B+,A-,C+,B-
Male,English,Sarawak,Yes,Foundation in Art,Mostly B's,Very Often,Year 3 Trimester 1,2002,3,4,15,3.2188,A-,B+,B-,B,C,B,B+,B+,A-,A,B+,B+,A-,B,B+,B+,B,B-,B+,B,B+,B,A,B+,B+,C,B-,B+,A-,B,A,A,C,A-,B+
Female,English,Selangor,Yes,Foundation in Art,Mostly A's,Often,Year 2 Trimester 3,2004,4,4,15,3.3594,A-,A,A+,A-,B,B-,B,B-,B-,A,A+,A,A,A,A+,A+,A-,A,C+,B+,B,B+,B,A,B+,B+,B-,B-,B,A,A-,B,B-,B,B+
Male,Chinese,Selangor,Yes,UEC (Unified Examination Certificate),Mostly C's,Often,Year 2 Trimester 2,2003,3,4,6,2.8715,B+,B-,C,B+,B+,B-,C,B-,B,A+,C+,B,B,F,B-,B+,B+,A-,C+,A+,C,B+,B+,C,C+,A-,B,C,A,A,A-,B,A-,C+,B
Male,English,Sabah,Yes,Diploma,Mostly B's,Sometimes,Year 2 Trimester 2,2003,4,4,0,3.5963,B-,A,A-,A-,B+,B,A+,A+,B,A,A-,A+,A,B,A+,A-,A,B-,A+,A+,A+,A-,A-,B+,A+,A,B-,A+,B,B-,A-,A-,A-,B+,A
Male,Chinese,Sarawak,No,Foundation in Science,Mostly B's,Very Often,Year 2 Trimester 3,2000,3,5,-6,2.7434,B-,A-,B,B-,F,B-,C,B+,B-,B+,C,A-,A-,B-,B+,B+,B+,C+,B,B,B+,A-,B+,B-,B-,F,B,C+,B,C+,B-,C+,C,B+,B
Male,Chinese,Sabah,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly A's,Often,Year 3 Trimester 2,2001,5,4,-3,3.5018,A+,A-,B-,A-,B,B,A-,A-,B,A+,A,A+,A,A,C+,A-,B,B+,C+,A,A+,B+,A,A+,B-,A,C+,A-,A+,B-,A+,A+,A+,A-,C+
Female,Chinese,Selangor,Yes,Foundation in Science,Mostly A's,Sometimes,Alumni,2003,3,4,5,3.5985,A-,A-,A+,B+,B+,B+,A+,A+,A,B,B+,B,A,A,B,B,A+,B,A,A+,A-,B+,B+,A-,B+,B,A+,A+,A,A-,B-,A+,A-,A+,A-
Male,English,Kuala Lumpur,No,Foundation in Science,Mostly B's,Sometimes,Year 2 Trimester 3,2002,4,3,17,3.2256,B-,C,A,B+,B-,A-,A-,B+,A+,B,B,B+,A-,A-,C,B,A-,A,F,C+,A,B+,A-,A-,F,B-,A+,A-,A-,B+,B,A-,A,B+,A
Male,English,Selangor,Yes,Foundation in Science,Mostly A's,Sometimes,Year 3 Trimester 1,2005,5,5,5,3.2429,B,A+,A-,A,B-,A-,B-,C+,C,B,A-,A,A-,A-,A+,C+,B,B-,B+,A-,B,A+,B-,B,A-,A,C,B+,B+,B+,B,A-,A-,A,A-
Female,Chinese,Selangor,Yes,Foundation in Science,Mostly A's,Often,Year 1 Trimester 3,2004,3,4,9,3.8777,A+,A,A,A,A+,B,A-,A,A,A,A,A,A,A,A+,A-,A+,A+,A+,A+,A+,B+,A+,A+,A,A,A-,A+,A-,A,A+,A+,B,B+,A
Male,Chinese,Selangor,Yes,Foundation in Science,Mostly B's,Sometimes,Year 2 Trimester 1,2002,3,4,-4,3.5162,A-,A,A+,A+,B,A-,B,A,A-,A-,A-,A+,A-,B+,A-,A-,B+,A+,A+,A+,B,A-,B+,B+,B,A-,A+,C+,A-,A+,A,B,C+,A-,B
Male,Chinese,Negeri Sembilan,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly A's,Often,Year 3 Trimester 1,2002,4,4,5,3.6415,A+,A,B,A+,B,B+,A+,A,A,A,A+,A-,A,A-,A-,A+,B-,A,A-,B,B,A+,A-,A+,A+,A-,A+,B,C+,A+,A,A,B,A,A+
Male,English,Kelantan,Yes,Diploma,Mostly A's,Very Often,Year 2 Trimester 1,2002,4,5,13,3.8326,A-,A,A,A+,A+,A-,A+,A-,A,A-,A+,A-,A-,B,A,A,A+,A,B+,A+,A+,A,A-,A-,A,A,A+,A+,A+,B+,A,A,B-,A+,A
Male,English,Negeri Sembilan,Yes,Foundation in Art,Mostly A's,Often,Year 2 Trimester 2,2004,4,4,8,3.5473,A-,A-,A+,C,B+,B-,A-,B,A-,A,B+,A-,B+,B,A+,A+,A+,A-,B,A,A+,B+,A,B,B,A+,A,B+,A,A-,A+,B+,A+,A-,C+
Male,Chinese,Selangor,Yes,UEC (Unified Examination Certificate),Mostly C's,Very Often,Year 2 Trimester 3,2003,2,5,5,3.2275,B+,A-,A+,A,A-,B+,C+,B-,B,B+,A-,B,B,B-,B,B+,B+,A-,A-,B,C+,B+,A,A-,A,B+,B+,B,A+,B,C+,A,C,B,A
Male,Chinese,Sabah,Yes,Foundation in Science,Mostly B's,Often,Year 3 Trimester 1,2002,4,4,0,3.1597,A-,A-,B-,A+,B,C,C,B-,B+,A-,A+,A+,A+,B+,C+,B+,B-,F,B,A,B,A,B,A-,C,B+,A,B,B+,A-,B+,A,A,B,A-
Male,Chinese,Sabah,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly A's,Very Often,Year 2 Trimester 1,2002,3,4,12,3.3109,B,B+,A-,B+,B+,B+,B,B,A-,B-,B,A-,A-,B+,B,B+,A-,B+,B,A-,B-,C+,B,B+,A,A+,B,A,A+,A-,A-,A,B,A-,B
Female,Chinese,Selangor,Yes,Foundation in Science,Mostly B's,Often,Year 1 Trimester 3,2003,3,3,9,3.7951,A,A+,A-,B,A,A,A,A,A,A,B,A+,A,A,A+,A-,A,A,A-,A,B+,A-,A,B+,B,A,A,A+,A-,A+,A-,A+,A+,A-,A
Male,English,Pahang,Yes,Foundation in Science,Mostly C's,Never,Year 3 Trimester 2,2002,5,3,0,1.6245,F,B-,C,B+,F,B,C,F,F,C,F,C,B-,B-,F,C,F,F,C+,B-,B-,F,B-,C,C+,A-,C+,B-,F,B-,C+,F,F,C,B-
Male,Chinese,Kelantan,Yes,Foundation in Art,Mostly C's,Sometimes,Year 3 Trimester 1,2002,4,3,7,1.7882,F,F,C+,F,F,C,C,C+,C,C+,B+,A-,B+,C,C,F,C,F,A-,B-,C+,C,C,C+,C,C+,C+,C+,F,C+,F,C+,C,B,F
Male,Chinese,Selangor,Yes,Foundation in Art,Mostly B's,Sometimes,Year 2 Trimester 1,2003,2,5,10,3.4926,B,B,B,B+,A-,B,A,A,A,A,B-,B,A+,A-,A,A,A-,B,B+,B+,B+,B,C+,A,A-,A-,B+,B,B+,B+,A-,A,A,A,A
Male,English,Sabah,Yes,Foundation in Art,Mostly A's,Very Often,Year 3 Trimester 1,2003,5,3,13,3.7954,A,B,A-,B,A+,A-,A,A+,A+,A+,A-,A-,A-,A-,A,A+,A,A+,A-,A+,A+,A,A,A,A+,A,A,A+,B,A+,B,B+,B,A+,A+
Male,English,Pahang,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Never,Year 3 Trimester 1,2001,4,4,3,3.4816,B+,A+,A+,A+,B,B-,B,B,A+,A+,A,A,A,A+,A+,A,B,B,B+,B,A,A,B-,A+,A-,A+,B+,A,B-,B+,B+,B-,B-,B-,B
Male,Chinese,Pahang,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Sometimes,Year 2 Trimester 1,2002,3,3,4,3.4218,A+,A+,B-,B,B+,B+,A-,B,A-,A,A-,A-,A,A+,B+,B+,B+,B-,A+,B,A+,A+,B,B,A-,B+,B+,A-,C,A-,B,C,C+,A+,A+
Male,English,Penang,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Never,Year 3 Trimester 1,2002,5,4,1,2.8324,B+,B-,F,B-,B+,A-,B-,B-,B+,A+,B+,B,B-,B-,B,A,B,A,B-,B-,C,B-,A,B-,B,A,B,B,B-,B+,C+,A,C,F,C
Male,Chinese,Kuala Lumpur,Yes,Foundation in Science,Mostly A's,Often,Year 1 Trimester 3,2002,3,4,-3,3.8119,A+,A+,A,A,B,B+,A+,A,A,A,A-,A,A+,A,A,A+,A+,B,A,A+,A+,B+,B-,A+,A-,A+,A+,A+,B+,A,A,B+,A,A+,A
Male,English,Sarawak,Yes,UEC (Unified Examination Certificate),Mostly B's,Never,Year 2 Trimester 3,2003,4,5,2,3.5302,A,B,B,A-,A,B+,B,B,B+,B,A+,A+,A+,A-,B,C+,A+,B-,A-,A-,A+,A,A,A-,A+,C,A,B,A-,A+,B,B+,A,A+,A
Male,English,Johor,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly A's,Never,Year 3 Trimester 1,2002,4,4,2,3.5869,A-,B+,B+,B-,A-,C+,A,A+,A-,A,A+,A,A+,A+,A+,B+,B,A-,A,A+,A+,A,B+,C+,C+,B+,B-,A+,A,A+,C+,A-,A-,A,A
Male,English,Selangor,Yes,Foundation in Science,Mostly B's,Sometimes,Year 2 Trimester 3,2004,4,5,22,2.9796,B,B+,C,B,A-,A-,B,B,B-,B+,B,B,B,B+,C+,B,B+,B+,B,B,B+,A,A,B-,A-,B,B+,B,B-,B,B+,F,C+,F,A
Male,English,Perak,Yes,Diploma,Mostly B's,Often,Year 3 Trimester 1,2001,4,4,7,2.7954,C,A-,B-,B-,B-,C+,B,B,A+,A,B-,A+,A-,B,A+,A-,C+,B+,A+,A,B-,A+,A-,C,F,C,B+,B,F,B-,F,B,C+,C+,C
Male,Chinese,Selangor,Yes,Foundation in Science,Mostly C's,Sometimes,Year 3 Trimester 2,2004,4,3,2,2.9903,B,B+,C+,B+,B+,B+,B+,C+,B-,B,A,A,A-,A,B-,B+,C+,C+,B+,C+,B+,B,B,F,B+,B+,B+,B,C,B-,B-,B,A-,B,B
Male,English,Selangor,Yes,Foundation in Science,Mostly C's,Sometimes,Year 3 Trimester 1,2004,4,4,20,3.3548,A-,B,B,B,A-,B+,A-,B,A-,B+,A-,B-,B,A+,B-,B,A-,A-,A-,A+,A-,C,B,B,B,A,B-,A-,A+,A-,A-,A,B-,C+,A-
Male,English,Pahang,Yes,Foundation in Art,Mostly A's,Sometimes,Year 2 Trimester 2,2003,4,4,8,3.8038,A,A,A-,B,A+,B-,A,A,A+,A,A+,A,A,A-,A,A,A+,A+,A+,B+,B+,A,A+,A-,A+,A-,A,A-,A-,A,A,A,A-,A,A-
Female,Chinese,Selangor,Yes,Foundation in Science,Mostly A's,Very Often,Alumni,2003,3,5,9,3.7382,A,B,A,B,A-,C+,A-,A,A,A+,A+,A,A,A-,A+,B-,B+,A,A+,A+,A,A,A-,B+,A-,C+,A,A,A-,A+,A,A,A+,A+,A
Male,Chinese,Selangor,Yes,Foundation in Art,Mostly B's,Very Often,Year 2 Trimester 3,2002,4,5,17,2.513,B-,B+,A-,B,B,B-,C,F,B-,B-,C,B+,C,C+,B,C,C+,B-,C,C,C,A-,C+,B-,B,F,B,B+,C,C+,B,B+,B,A+,B-
Male,Chinese,Selangor,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Sometimes,Year 2 Trimester 3,2000,3,4,-3,3.1085,B+,B,B-,A+,B-,C+,B,B,B,A-,B+,A,A,B-,B+,B+,A-,B-,B+,A,B-,B,B+,B,A,C,B,A,B,B,B-,B,B+,B-,C+
Male,Chinese,Penang,Yes,Foundation in Science,Mostly A's,Sometimes,Year 3 Trimester 1,2004,3,4,9,3.3735,B,A+,A,B+,B+,B,A-,A-,B,A-,A-,A-,B,B+,B+,B+,B,B,A-,A+,A-,A+,B,B-,B+,B+,B+,A-,A,B-,B-,B+,B,A+,C+
Female,English,Perak,Yes,Foundation in Science,Mostly B's,Very Often,Year 3 Trimester 3,2005,5,4,18,3.493,A,A+,B-,A+,A,B,B,C+,B+,A-,B+,A-,B,B+,B+,C+,B+,A+,A-,A,A-,A+,A,B,B,A+,A,C+,A-,A+,A,A+,B,A-,A-
Male,English,Selangor,Yes,Foundation in Art,Mostly B's,Sometimes,Year 3 Trimester 3,2003,3,4,7,2.8122,A+,B-,B-,C,C,C+,B-,B-,B-,A-,B+,B,A-,B,B-,C+,B+,C,B+,B-,B,B-,B,C+,C,C+,B+,F,A+,B,B,C,A,B,A+
Female,Chinese,Kuala Lumpur,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly C's,Never,Year 1 Trimester 2,2002,4,4,8,3.7785,A+,B,A,A-,A,A-,A,A,A,A,A,A,A,A,A,A+,A+,A+,B,A,A+,B-,A-,A+,B,B-,A+,B,A-,A+,A-,A+,A,A-,A
Male,Chinese,Kedah,Yes,Foundation in Art,Mostly B's,Very Often,Year 3 Trimester 2,2003,3,4,7,3.1305,B+,B-,C,B-,C,B-,A,A,A,A-,B,B+,A+,B+,B,B+,B+,A,A,B+,C+,A,C,A+,A+,C+,C,A+,C,A,C,C+,A-,C,A+
Male,English,Perak,No,Diploma,Mostly A's,Sometimes,Year 2 Trimester 2,2002,5,4,19,3.6078,B-,A-,A+,C+,B,A+,A,A-,A-,A-,A+,A+,A-,A+,A-,A+,A,A,A,A-,A-,B-,A+,A+,A-,B+,A,B+,C,B+,B-,A,A+,A,A
Male,Chinese,Pahang,Yes,Foundation in Science,Mostly A's,Sometimes,Year 2 Trimester 1,2002,4,4,13,3.8974,A,A,A,A,A,B+,A,A+,A,A,A,A,A,A,A,B,A,A+,A+,B+,A+,A-,A,A-,A,A+,B+,A,A,A,A+,A+,A-,A+,A
Female,English,Sabah,Yes,UEC (Unified Examination Certificate),Mostly B's,Sometimes,Year 2 Trimester 1,2003,3,4,10,3.4907,B,C,B+,B,A+,B-,A-,A+,A,A,A+,A,A,A,A-,B,A+,A-,A-,C,B,A+,A-,B,B-,B,B,A,B-,A,A,A+,A+,A+,A
Male,Chinese,Selangor,Yes,Foundation in Art,Mostly B's,Often,Year 2 Trimester 1,2003,3,4,22,3.8608,A,A,A+,B,A-,A+,A+,A+,A,A,B,A+,A+,A+,B+,A,A+,A,A,A+,A+,A-,A-,A,A+,A-,A,A+,A,A,A,A+,B+,A-,A-
Male,English,Negeri Sembilan,Yes,Foundation in Art,Mostly B's,Sometimes,Year 3 Trimester 1,2004,4,4,2,2.7686,C,A-,B+,B+,F,B-,B+,B,B+,A,A-,A+,B,C+,A-,A-,C,B+,C+,A,B,A+,B+,B+,C+,F,B,F,B,C,C+,C,C,A+,C
Male,Chinese,Perak,Yes,Foundation in Art,Mostly A's,Often,Year 2 Trimester 3,2003,4,5,9,3.7413,A+,A,B,A+,A+,C,A+,A+,A+,A,A,A-,A+,A-,B+,A,A,A-,A,A+,A+,A+,A-,B-,A,A+,A+,A-,B-,A+,A+,A+,B,B,A
Male,English,Sarawak,Yes,Foundation in Science,Mostly B's,Sometimes,Year 2 Trimester 2,2004,4,4,0,3.2042,B-,A-,B-,B+,B+,C,B+,B+,B+,A-,C+,B,B+,B-,B+,B+,A-,A,B+,A,B+,B+,B+,A-,B+,B,B-,B+,B+,B,B+,B,B,B-,B
Male,Chinese,Kuala Lumpur,No,Foundation in Art,Mostly B's,Very Often,Year 2 Trimester 3,2002,4,3,13,3.4904,A-,A-,B-,B+,B,B-,A,A,A,A+,B,A+,A+,A,A+,B+,B-,A-,B+,A-,A+,A,B,A,B+,B,B+,B,B-,A,A-,C,B,A,B
Female,Chinese,Pahang,Yes,UEC (Unified Examination Certificate),Mostly A's,Very Often,Year 2 Trimester 2,2000,3,3,2,3.1338,B,B+,B,B-,B,F,B,A-,A-,B+,A-,A-,A,A+,A-,B+,B+,B+,B+,B+,B+,A-,B-,A-,B+,A,F,B,C+,B,B-,B,A-,B+,B
Male,English,Kedah,Yes,Foundation in Science,Mostly A's,Sometimes,Year 3 Trimester 2,2001,5,3,17,2.3137,C+,C+,C,A-,C,B-,C,C+,B,B-,B,B-,B-,C,F,C,C+,C,C+,C+,A-,B-,B-,C,F,B,B-,C,C+,F,C,B-,C+,C,C
Male,English,Penang,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Sometimes,Year 3 Trimester 3,2001,4,4,12,2.3333,B-,B,B+,A-,B-,A-,F,C+,C+,C,C+,B-,C,C+,C,B,B+,C,B-,C,F,B-,B+,C+,B-,C+,B-,C+,B,B-,C+,C,A-,B-,C+
Female,Chinese,Kelantan,No,Foundation in Science,Mostly C's,Never,Year 3 Trimester 1,2000,2,2,4,2.3476,C+,C+,F,C,F,C,B,B-,B,A+,B-,A+,A,A+,B,B,B-,B-,C+,A,F,C+,C+,B-,A+,B,B+,F,F,C,B-,B+,B-,B,C
Male,Chinese,Johor,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Often,Year 3 Trimester 3,2003,4,4,18,2.7204,C,B+,B-,B+,B,B,B-,B+,B,A,C+,C,B-,C+,A,A+,B-,B+,B+,B-,B,B+,F,C+,C+,C+,B-,F,C,B-,B,B-,B-,C+,B+
Male,Chinese,Pahang,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly A's,Very Often,Year 2 Trimester 3,2002,3,4,20,3.4444,B+,B+,A,B,A-,B+,B+,B,A,A-,A+,B,A+,B,A,A,A,A-,B+,B,A-,B+,B,B+,A,B,B,B+,A-,B,B,B+,B,A-,B
Female,English,Penang,No,Foundation in Art,Mostly B's,Sometimes,Year 3 Trimester 1,2004,4,4,12,3.6442,A+,A+,B+,B+,B-,A-,A,A+,A-,B+,A,A,A,A,A+,A+,A-,B,A-,A+,A,A+,A+,A-,A,A,A-,C+,B+,A,B-,B-,B,A,B+
Male,English,Malacca,Yes,A-Level,Mostly A's,Very Often,Year 2 Trimester 2,2003,4,4,16,3.889,A+,A,A,A+,A+,B,A,A,A,A,A+,A,A,A,B+,A,B+,A,A+,A-,A,A,A,A-,A-,B+,A+,A-,A+,A+,A+,A,A+,A+,A
Male,Chinese,Sarawak,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Sometimes,Year 3 Trimester 1,2002,3,4,-2,2.4783,C,B,B,B,F,B+,B-,B+,C,B+,C+,A-,B-,C,B-,A-,F,F,A-,B+,B,B,F,B+,C+,C+,B,B,A-,C+,F,B+,C,B+,B
Male,English,Johor,Yes,Foundation in Science,Mostly B's,Never,Year 3 Trimester 1,2002,4,4,6,3.8268,A-,A,A,A+,A+,B-,A,A,A,A,A-,A,A-,A+,A+,B,A+,B,B,A,A+,A+,A-,A-,A-,A+,A,A+,A+,A+,A+,A+,A+,A+,A
Male,English,Negeri Sembilan,No,Foundation in Art,Mostly C's,Never,Year 2 Trimester 3,2002,4,4,-5,3.6132,B+,A,B-,B,A-,B-,A,A,A,A,A-,A,A,A,A-,A+,A-,A-,B+,A-,A,A,A+,B+,A-,A+,B,A-,B,A,A-,B+,C,B,A-
Male,Chinese,Selangor,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly A's,Very Often,Year 3 Trimester 2,2003,4,5,6,3.1166,B,B+,B+,A-,B+,B+,C+,B-,B,A-,B,B,B,B-,B+,A+,B+,B+,B-,A,B-,A-,A,C+,B,B+,B,B+,B+,B,B,B,B+,B-,B-
Female,Chinese,Sabah,Yes,UEC (Unified Examination Certificate),Mostly A's,Often,Year 2 Trimester 3,2001,4,4,7,3.8608,A-,A-,A,A,A,B,A,A+,A+,B,A,A,A,A,A+,A-,A,A,A+,A+,A+,A,B+,B,A-,A+,A,A,A,A,A+,A,A,A-,A
Male,Chinese,Kedah,Yes,Foundation in Science,Mostly B's,Never,Year 2 Trimester 1,2003,3,4,-9,3.5898,A+,A,B,B,B+,C,A+,A,A-,A,B+,A+,A+,B,A,A+,A+,B,A+,A+,B+,A,A-,B,A+,A-,A,A-,A-,A,B,B,B,A-,A
Male,Chinese,Selangor,No,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Sometimes,Year 3 Trimester 2,2003,4,4,4,2.2736,C+,C,F,B,B-,C+,B+,B,A-,B,C,B-,B-,F,C+,C+,F,F,A-,B+,B,B,F,B-,A-,C+,B-,B+,C,B,C,B,F,F,B-
Male,English,Sarawak,Yes,Diploma,Mostly B's,Sometimes,Year 2 Trimester 3,2002,4,4,10,2.9637,B-,C,C+,B,B,B-,B-,B,A-,A,B-,A-,B,B-,C+,B,B-,B-,A-,A+,B+,C+,B+,B,B,B,B-,B,B-,B-,B,B,B-,B+,B-
Female,Chinese,Sarawak,Yes,Foundation in Art,Mostly A's,Often,Alumni,2004,3,3,20,3.8892,A,A,A,A+,A,A,A,A,A,A,A,A,A,A,A+,B-,A+,A,A+,B+,A,A-,B,A-,A-,A-,A+,A,A,A,A,A+,A+,A,A+
Male,English,Pahang,Yes,Foundation in Art,Mostly B's,Very Often,Year 2 Trimester 3,2002,4,4,3,3.7013,A-,A,B,A,A-,C,A-,A,A,A+,A-,A+,A+,A,A+,A,A-,A,A,A,A,B+,A,A,A-,A+,B-,C+,B+,A,A,B-,B+,A,A
Male,English,Pahang,Yes,Foundation in Art,Mostly B's,Often,Year 3 Trimester 2,2003,4,4,13,3.1338,B+,B+,A+,B,B,B+,B,C+,B,A-,B-,B,C,B-,A+,C,A+,A+,B+,C,B,C+,A,A+,B+,B,B-,B,B-,A-,A-,B+,B+,A-,B-
Male,Chinese,Penang,Yes,STPM (Sijil Tinggi Persekolahan Malaysia),Mostly B's,Sometimes,Year 3 Trimester 2,2002,4,4,-6,2.4612,C,C,C,B+,B-,B-,C+,C,B-,C+,B+,A+,B+,B-,C,C,C+,C+,F,B-,C+,B+,B+,B-,B-,B,C,C,C,B,B-,B-,C+,C,C
Male,English,Selangor,Yes,Foundation in Science,Mostly B's,Often,Year 3 Trimester 2,2002,4,5,6,3.1024,B+,B-,B,B,C,B-,B-,B+,B+,B-,B,A,A-,A-,B-,B-,B-,C+,B,B,A+,C+,B+,B+,B+,B+,B-,B,A,B+,A,B,B+,B,C
Female,English,Negeri Sembilan,Yes,UEC (Unified Examination Certificate),Mostly B's,Never,Year 2 Trimester 3,2003,2,4,6,3.7638,A-,A,A,A,A-,B+,A+,A+,A,A,A-,A,A,B,A-,A,A,A,A,A+,A,A+,A,B,B,B-,B+,A+,A+,A+,B+,A-,B,A+,A+
